Copyright (C) 2024  Intel Corporation. All rights reserved.
Your use of Intel Corporation's design tools, logic functions 
and other software and tools, and any partner logic 
functions, and any output files from any of the foregoing 
(including device programming or simulation files), and any 
associated documentation or information are expressly subject 
to the terms and conditions of the Intel Program License 
Subscription Agreement, the Intel Quartus Prime License Agreement,
the Intel FPGA IP License Agreement, or other applicable license
agreement, including, without limitation, that your use is for
the sole purpose of programming logic devices manufactured by
Intel and sold by Intel or its authorized distributors.  Please
refer to the applicable agreement for further details, at
https://fpgasoftware.intel.com/eula.

Fitter Resource Utilization by Entity

Compilation Hierarchy Node,Logic Cells,Dedicated Logic Registers,I/O Registers,Memory Bits,M9Ks,UFM Blocks,DSP Elements,DSP 9x9,DSP 18x18,Pins,Virtual Pins,LUT-Only LCs,Register-Only LCs,LUT/Register LCs,ADC blocks,Full Hierarchy Name,Entity Name,Library Name
|cnn_vibration_monitor_10M08,2756 (69),2651 (59),0 (0),576,10,1,46,0,23,12,0,105 (10),1421 (30),1230 (29),0,|cnn_vibration_monitor_10M08,cnn_vibration_monitor_10M08,work
   |adc:u0|,75 (0),63 (0),0 (0),0,0,0,0,0,0,0,0,12 (0),24 (0),39 (0),0,|cnn_vibration_monitor_10M08|adc:u0,adc,adc
      |adc_altpll_0:altpll_0|,0 (0),0 (0),0 (0),0,0,0,0,0,0,0,0,0 (0),0 (0),0 (0),0,|cnn_vibration_monitor_10M08|adc:u0|adc_altpll_0:altpll_0,adc_altpll_0,adc
         |adc_altpll_0_altpll_6b92:sd1|,0 (0),0 (0),0 (0),0,0,0,0,0,0,0,0,0 (0),0 (0),0 (0),0,|cnn_vibration_monitor_10M08|adc:u0|adc_altpll_0:altpll_0|adc_altpll_0_altpll_6b92:sd1,adc_altpll_0_altpll_6b92,adc
      |adc_modular_adc_0:modular_adc_0|,75 (0),63 (0),0 (0),0,0,0,0,0,0,0,0,12 (0),24 (0),39 (0),0,|cnn_vibration_monitor_10M08|adc:u0|adc_modular_adc_0:modular_adc_0,adc_modular_adc_0,adc
         |altera_modular_adc_control:control_internal|,75 (0),63 (0),0 (0),0,0,0,0,0,0,0,0,12 (0),24 (0),39 (0),0,|cnn_vibration_monitor_10M08|adc:u0|adc_modular_adc_0:modular_adc_0|altera_modular_adc_control:control_internal,altera_modular_adc_control,adc
            |altera_modular_adc_control_fsm:u_control_fsm|,75 (73),63 (59),0 (0),0,0,0,0,0,0,0,0,12 (12),24 (24),39 (38),0,|cnn_vibration_monitor_10M08|adc:u0|adc_modular_adc_0:modular_adc_0|altera_modular_adc_control:control_internal|altera_modular_adc_control_fsm:u_control_fsm,altera_modular_adc_control_fsm,adc
               |altera_std_synchronizer:u_clk_dft_synchronizer|,2 (2),2 (2),0 (0),0,0,0,0,0,0,0,0,0 (0),0 (0),2 (2),0,|cnn_vibration_monitor_10M08|adc:u0|adc_modular_adc_0:modular_adc_0|altera_modular_adc_control:control_internal|altera_modular_adc_control_fsm:u_control_fsm|altera_std_synchronizer:u_clk_dft_synchronizer,altera_std_synchronizer,work
               |altera_std_synchronizer:u_eoc_synchronizer|,2 (2),2 (2),0 (0),0,0,0,0,0,0,0,0,0 (0),0 (0),2 (2),0,|cnn_vibration_monitor_10M08|adc:u0|adc_modular_adc_0:modular_adc_0|altera_modular_adc_control:control_internal|altera_modular_adc_control_fsm:u_control_fsm|altera_std_synchronizer:u_eoc_synchronizer,altera_std_synchronizer,work
            |fiftyfivenm_adcblock_top_wrapper:adc_inst|,2 (0),0 (0),0 (0),0,0,0,0,0,0,0,0,0 (0),0 (0),2 (0),0,|cnn_vibration_monitor_10M08|adc:u0|adc_modular_adc_0:modular_adc_0|altera_modular_adc_control:control_internal|fiftyfivenm_adcblock_top_wrapper:adc_inst,fiftyfivenm_adcblock_top_wrapper,adc
